ID	@	City	@	Project ID	@	Betterplace NGO	@	Project Titel	@	Link to project	@	SDG_1	@	SDG_2	@	SDG_3	@	SDG_4	@	CHECKED
74	@		@	14784	@	Loki Schmidt Stiftung	@	Mein Baum – Meine Stadt	@	https://www.betterplace.org/de/projects/14784-mein-baum-meine-stadt	@	13	@		@		@		@	HAMBURG
75	@		@	50315	@	Ankerland e. V.	@	Hilfe für schwer traumatisierte Kinder und Jugendliche - ANKERLAND e.V.	@	https://www.betterplace.org/de/projects/50315-hilfe-fuer-schwer-traumatisierte-kinder-und-jugendliche-ankerland-e-v	@	3	@		@		@		@	HAMBURG
76	@		@	36778	@	Hanseatic Help e.V.	@	Hanseatic Help e.V. | Eine Hamburger Hilfsorganisation #EinfachMachen	@	https://www.betterplace.org/de/projects/36778-hanseatic-help-e-v-eine-hamburger-hilfsorganisation-einfachmachen	@	1	@		@		@		@	HAMBURG
77	@		@	82670	@	Hanseatic Help e.V.	@	Hamburg packt‘s zusammen!	@	https://www.betterplace.org/de/projects/82670-hamburg-packt-s-zusammen	@	1	@		@		@		@	HAMBURG
78	@		@	71514	@	Lucky Dog Hostel -Hunde in Not	@	Hilfe für arme und alte Hunde, die niemand mehr will	@	https://www.betterplace.org/de/projects/71514-hilfe-fuer-arme-und-alte-hunde-die-niemand-mehr-will	@	15	@		@		@		@	HAMBURG
79	@		@	63114	@	MENSCHEN.LEBEN.e.V. – das Mehrgenerationenprojekt	@	MENSCHEN.LEBEN.e.V. – das Mehrgenerationenprojekt	@	https://www.betterplace.org/de/projects/63114-menschen-leben-e-v-das-mehrgenerationenprojekt	@	3	@		@		@		@	HAMBURG
80	@		@	54886	@	StrassenBLUES e.V.	@	Unterstütze unseren Obdachlosen-Verein StrassenBLUES e.V.	@	https://www.betterplace.org/de/projects/54886-unterstuetze-unseren-obdachlosen-verein-strassenblues-e-v	@	1	@		@		@		@	HAMBURG
81	@		@	84566	@	Schulverein des Gymnasiums am Bondenwald e.V.	@	Licht- und Tontechnik für das neue Auditorium am Gymnasium Bondenwald	@	https://www.betterplace.org/de/projects/84566-licht-und-tontechnik-fuer-das-neue-auditorium-am-gymnasium-bondenwald	@	4	@		@		@		@	HAMBURG
82	@		@	82309	@	Hanseatic Help e.V.	@	Nach Sommer kommt kalt - Deine Spende für Obdachlose	@	https://www.betterplace.org/de/projects/82309-nach-sommer-kommt-kalt-deine-spende-fuer-obdachlose	@	11	@		@		@		@	HAMBURG
83	@		@	83666	@	Hamburger Theater e. V.	@	Realisierung des Theaterpreis Hamburg - Rolf Mares	@	https://www.betterplace.org/de/projects/83666-realisierung-des-theaterpreis-hamburg-rolf-mares	@	11	@		@		@		@	HAMBURG
84	@		@	42817	@	Mission Freedom e.V.	@	Mission Freedom HOME	@	https://www.betterplace.org/de/projects/42817-mission-freedom-home	@	5	@		@		@		@	HAMBURG
85	@		@	21307	@	Zeit für Zukunft - Mentoren für Kinder e.V.	@	Zeit für Zukunft - Mentoren für Kinder e.V., Hamburg	@	https://www.betterplace.org/de/projects/21307-zeit-fuer-zukunft-mentoren-fuer-kinder-e-v-hamburg	@	3	@	4	@		@		@	HAMBURG
86	@		@	23451	@	Zonta Club Hamburg Hafen	@	Madame Courage - Hilfe für alleinerziehendende Studierende	@	https://www.betterplace.org/de/projects/23451-madame-courage-hilfe-fuer-alleinerziehendende-studierende	@	3	@	4	@		@		@	HAMBURG
87	@	 HANNOVER	@	41876	@	Freiwilligenzentrum Hannover e.V.	@	Freiwilligenzentrum Hannover e.V. - Wir stärken das soziale Engagement	@	https://www.betterplace.org/de/projects/41876-freiwilligenzentrum-hannover-e-v-wir-staerken-das-soziale-engagement	@	10	@		@		@		@	HANNOVER
88	@		@	30305	@	Refugee Law Clinic Hannover e.V.	@	Kostenlose Rechtsberatung für Flüchtlinge in Hannover	@	https://www.betterplace.org/de/projects/30305-kostenlose-rechtsberatung-fuer-fluechtlinge-in-hannover	@	16	@		@		@		@	HANNOVER
89	@		@	66767	@	Medinetz Hannover e.V.	@	Stell dir vor du hast Schmerzen und niemand hilft dir! - Medinetz Hannover	@	https://www.betterplace.org/de/projects/66767-stell-dir-vor-du-hast-schmerzen-und-niemand-hilft-dir-medinetz-hannover	@	3	@		@	 	@		@	HANNOVER
90	@		@	58964	@	Tierschutzhof Hannover Land e.V	@	Helft Tiere in Not und unterstützt den Tierschutzhof Hannover Land e.V.	@	https://www.betterplace.org/de/projects/58964-helft-tiere-in-not-und-unterstuetzt-den-tierschutzhof-hannover-land-e-v	@	15	@		@	 	@		@	HANNOVER
91	@		@	33225	@	AG Fledermäuse BUND Region Hannover	@	Fledermäuse brauchen Mäuse - Lebensräume erhalten Tiere retten - mach mit!	@	https://www.betterplace.org/de/projects/33225-fledermaeuse-brauchen-maeuse-lebensraeume-erhalten-tiere-retten-mach-mit	@	15	@		@		@		@	HANNOVER
92	@		@	68355	@	Obdachlosenhilfe Hannover e.V.	@	Hilfe um zu Helfen ! Warmes Essen und mehr für Obdachlose.	@	https://www.betterplace.org/de/projects/68355-hilfe-um-zu-helfen-warmes-essen-und-mehr-fuer-obdachlose	@	2	@		@		@		@	HANNOVER
93	@		@	65971	@	UNTER EINEM DACH gUG	@	Unter einem Dach: Gemeinsam für eine offene Gesellschaft	@	https://www.betterplace.org/de/projects/65971-unter-einem-dach-gemeinsam-fuer-eine-offene-gesellschaft	@	9	@	1	@		@		@	HANNOVER
94	@		@	46591	@	Lebensbrücke International Deutschland gGmbH	@	Gegen Kinderarmut in Deutschland: Kostenloses Frühstück für arme Kinder	@	https://www.betterplace.org/de/projects/66365-gegen-kinderarmut-in-deutschland-kostenloses-fruehstueck-fuer-arme-kinder	@	1	@	2	@		@		@	HANNOVER
95	@		@	9774	@	Lost Voices Stiftung	@	ME/CFS-erkrankten Menschen Ihre Stimme geben	@	https://www.betterplace.org/de/projects/9774-me-cfs-erkrankten-menschen-ihre-stimme-geben	@	3	@		@		@		@	HANNOVER
96	@		@	30716	@	Moebius Syndrom Deutschland e.V.	@	Moebius Syndrom Deutschland e.V.	@	https://www.betterplace.org/de/projects/30716-moebius-syndrom-deutschland-e-v	@	3	@		@		@		@	HANNOVER
97	@		@	26360	@	Lebenshof am Mühlenbach e.V.	@	Hilfe für den Lebenshof am Mühlenbach e.V.	@	https://www.betterplace.org/de/projects/26360-hilfe-fuer-den-lebenshof-am-muehlenbach-e-v	@	15	@		@		@		@	HANNOVER
98	@		@	85018	@	Hilfe bei Diagnose Brustkrebs e.V.	@	 www.infos-bei-brustkrebs.de 	@	https://www.betterplace.org/de/projects/85018-www-infos-bei-brustkrebs-de	@	3	@		@		@		@	HANNOVER
99	@		@	80181	@	T3amwork gemeinnützige GmbH	@	Corona-Direkthilfe für Familien in der Region Hannover	@	 https://www.betterplace.org/de/projects/80181-corona-direkthilfe-fuer-familien-in-der-region-hannover	@	3	@		@		@		@	HANNOVER
100	@		@	80459	@	Enactus Leibniz University Hannover eV	@	MakerMask	@	https://www.betterplace.org/de/projects/80459-makermask	@	3	@	12	@		@		@	HANNOVER
101	@		@	76233	@	Serve the City Hannover e.V.	@	Serve the City Hannover - Kurz Zeit? Mach mit. Tu gut!	@	https://www.betterplace.org/de/projects/76233-serve-the-city-hannover-kurz-zeit-mach-mit-tu-gut	@	11	@	10	@		@		@	HANNOVER
102	@		@	65817	@	Mukoviszidose e.V.	@	Ihre Corona-Hilfsspende für unser Haus Schutzengel	@	https://www.betterplace.org/de/projects/65817-ihre-corona-hilfsspende-fuer-unser-haus-schutzengel	@	3	@	5	@		@		@	HANNOVER
103	@	NURNBERG	@	53807	@	Stadtmission Nürnberg e.V.	@	Kindernotfonds der Stadtmission Nürnberg	@	https://www.betterplace.org/de/projects/53807-kindernotfonds-der-stadtmission-nuernberg	@	1	@		@		@		@	NURNBERG
104	@		@	72852	@	Kanu Verein Nürnberg e.V.	@	Renovierung der Jugendräume im Bootshaus des Kanuvereins Nürnberg	@	https://www.betterplace.org/de/projects/72852-renovierung-der-jugendraeume-im-bootshaus-des-kanuvereins-nuernberg	@	3	@		@		@		@	NURNBERG
105	@		@	51003	@	Bürgerstiftung Nürnberg	@	Kultur für ALLE – auch bei geringem Einkommen - KulturTicketNürnberg	@	https://www.betterplace.org/de/projects/51003-kultur-fuer-alle-auch-bei-geringem-einkommen-kulturticketnuernberg	@	4	@		@		@		@	NURNBERG
106	@		@	51146	@	DLRG Kreisverband Nürnberg-Roth-Schwabach e.V.	@	Unterstütze die Rettungsschwimmer der DLRG KV Nürnberg-Roth-Schwabach e.V.	@	https://www.betterplace.org/de/projects/51146-unterstuetze-die-rettungsschwimmer-der-dlrg-kv-nuernberg-roth-schwabach-e-v	@	4	@	3	@		@		@	NURNBERG
